payment_id,user_id,loan_id,limit_payment_dt,payment_date,payment_method,hash_card,issue_bank,payment_amount
57,8,1,2023-04-12,2023-04-21,Debit Card,348382032427927,Santander,4836.0
58,2,5,2023-02-25,2023-02-05,Cash,2229026893859476,Banamex,4852.0
59,4,10,2023-04-21,2023-04-15,Cash,6536758933243183,BBVA,2254.0
60,6,4,2023-08-26,2023-02-23,Cash,4830870861642803,Santander,2504.0
61,7,7,2023-04-11,2023-04-22,Debit Card,3559294652861020,Azteka,362.0
62,9,7,2023-01-22,2023-02-07,Cash,2711987056048212,Banamex,2534.0
63,7,3,2023-02-11,2023-02-28,Cash,4163036728050849,Banamex,4542.0
64,2,9,2023-01-24,2023-04-22,Cash,4063340091127,Banamex,3766.0
65,1,4,2023-08-03,2023-07-30,Cash,3530384242682624,Azteka,374.0
66,2,1,2023-03-13,2023-01-07,Cash,4349937969860001,Santander,4639.0
67,5,8,2023-08-04,2023-06-02,Debit Card,4550013040708902953,Santander,4171.0
68,1,9,2023-03-03,2023-02-16,Debit Card,30560244021215,Banamex,3780.0
69,5,1,2023-06-21,2023-07-06,Cash,3507642571873471,Santander,3393.0
70,7,5,2023-07-11,2023-04-20,Debit Card,3558640900250328,Santander,2070.0
71,7,4,2023-04-19,2023-03-22,Cash,4098190650473,Azteka,2556.0
72,10,4,2023-04-05,2023-02-20,Cash,4993169375283546955,BBVA,1237.0
73,7,4,2023-02-26,2023-03-31,Cash,4459261560368025,Santander,4064.0
74,9,10,2023-03-27,2023-03-22,Cash,5140653823000233,Santander,3481.0
75,4,3,2023-01-21,2023-05-30,Debit Card,5422108690596184,BBVA,1113.0
76,3,7,2023-03-15,2023-05-10,Cash,4079630505578380335,Santander,3330.0
77,10,2,2023-02-20,2023-02-09,Cash,348354461931059,Santander,3970.0
78,8,10,2023-02-25,2023-01-08,Cash,4342623335580138,Azteka,2008.0
79,8,2,2023-06-22,2023-01-09,Cash,6011229607406526,Azteka,2041.0
80,4,4,2023-02-10,2023-05-10,Cash,4647736208913103,Banamex,3783.0
81,2,10,2023-01-13,2023-06-03,Debit Card,4379000075915,BBVA,1539.0
82,9,8,2023-03-29,2023-06-15,Cash,4516972001724086,Santander,1502.0
83,3,5,2023-01-05,2023-03-14,Cash,3587989467543772,Azteka,4373.0
84,3,1,2023-06-13,2023-04-15,Debit Card,4206253539018,Azteka,667.0
85,4,9,2023-06-07,2023-06-25,Cash,4180891633900530169,Azteka,1124.0
86,5,8,2023-03-28,2023-04-07,Cash,4873030173773844811,Santander,1266.0
87,10,7,2023-04-23,2023-05-26,Debit Card,3525671615578992,Azteka,4817.0
88,10,5,2023-02-28,2023-03-22,Cash,4080797485139279,Banamex,2888.0
89,2,5,2023-08-05,2023-05-15,Cash,4012688075358,BBVA,3579.0
90,8,2,2023-06-04,2023-08-08,Cash,3508117742886321,Santander,188.0
91,7,7,2023-04-19,2023-04-29,Cash,213119708902623,Azteka,289.0
92,9,4,2023-02-28,2023-04-03,Cash,4375982443144751,Azteka,3019.0
93,6,2,2023-08-17,2023-06-12,Debit Card,502042521414,Santander,1796.0
94,6,3,2023-07-29,2023-02-18,Debit Card,30494907066129,Santander,493.0
95,9,4,2023-08-18,2023-02-02,Debit Card,4009324194413842,Banamex,1023.0
96,3,1,2023-06-13,2023-04-18,Cash,2597570305726629,Banamex,1313.0
97,6,5,2023-04-16,2023-05-16,Debit Card,3599866940584498,Santander,1415.0
98,2,7,2023-08-21,2023-03-21,Debit Card,30567018259954,Azteka,3298.0
99,9,5,2023-01-04,2023-04-05,Debit Card,180064373706686,Azteka,1340.0
100,7,7,2023-05-29,2023-01-04,Cash,3574277420185799,Santander,2911.0
101,8,8,2023-05-14,2023-01-25,Cash,4292833885283229,BBVA,1956.0
102,2,4,2023-07-26,2023-01-07,Cash,4031849158184883512,Banamex,3252.0
103,8,3,2023-01-08,2023-02-12,Cash,30065146300949,Banamex,145.0
104,5,9,2023-02-06,2023-08-17,Debit Card,4837474269615231,Azteka,4243.0
105,8,9,2023-02-20,2023-03-06,Debit Card,566844856708,Azteka,4473.0
106,9,9,2023-02-25,2023-01-16,Debit Card,4271658635191421,Azteka,4730.0
107,6,10,2023-02-27,2023-02-23,Cash,4931016844966814,BBVA,1124.0
108,10,1,2023-07-14,2023-07-14,Debit Card,4566027628305923,Banamex,507.0
109,4,8,2023-04-08,2023-01-01,Cash,340675843478882,Azteka,4157.0
110,10,7,2023-03-20,2023-04-16,Cash,340007555997018,BBVA,3426.0
111,1,7,2023-05-03,2023-06-08,Debit Card,6011816169287433,Azteka,1142.0
112,6,6,2023-05-04,2023-05-27,Debit Card,2275310546178010,Santander,2184.0
113,5,9,2023-04-21,2023-04-08,Cash,4652898498005503,BBVA,4946.0
114,2,5,2023-04-18,2023-06-16,Cash,180023432145153,Azteka,1510.0
115,8,9,2023-08-24,2023-03-29,Debit Card,5196985523457005,Banamex,2015.0
116,4,9,2023-02-18,2023-04-29,Cash,6560549548246698,Banamex,3852.0
117,9,4,2023-02-18,2023-02-18,Cash,180093650565812,BBVA,3895.0
118,7,5,2023-04-09,2023-01-17,Cash,180074800847334,Santander,3903.0
119,5,6,2023-01-18,2023-06-03,Debit Card,3536311486943762,BBVA,2395.0
120,10,2,2023-07-05,2023-06-15,Cash,503893148299,BBVA,1607.0
121,3,5,2023-04-20,2023-04-14,Debit Card,4185787261952,Santander,525.0
122,8,5,2023-06-03,2023-05-12,Cash,4299984582892290850,Banamex,2302.0
123,10,10,2023-03-18,2023-03-15,Debit Card,676310533846,Santander,2472.0
124,7,3,2023-05-17,2023-08-04,Debit Card,348750780588894,Azteka,4055.0
125,2,6,2023-08-09,2023-03-25,Debit Card,4113336042412616850,Azteka,4802.0
126,6,1,2023-04-22,2023-04-02,Cash,2284354045756123,Banamex,1749.0
127,6,9,2023-04-27,2023-08-24,Cash,4803684876256357,Banamex,582.0
128,6,9,2023-04-26,2023-08-03,Cash,4257205063888,BBVA,3439.0
129,8,8,2023-06-23,2023-06-06,Cash,3525185670233021,Banamex,1034.0
130,5,2,2023-06-05,2023-03-14,Cash,30391138610784,Santander,4248.0
131,3,1,2023-02-23,2023-07-21,Debit Card,4962894331723720,BBVA,309.0
132,3,4,2023-03-09,2023-08-08,Debit Card,2376870483092787,BBVA,2608.0
133,8,4,2023-07-29,2023-05-16,Cash,378564436156771,Azteka,3830.0
134,2,4,2023-06-14,2023-01-07,Debit Card,3580716065242599,Banamex,4091.0
135,3,2,2023-08-21,2023-04-03,Debit Card,30317437901277,Banamex,3725.0
136,4,9,2023-05-18,2023-01-19,Debit Card,349917785126850,Azteka,1109.0
137,8,5,2023-02-12,2023-03-13,Debit Card,4212167162426,Santander,3566.0
138,10,8,2023-04-13,2023-02-09,Debit Card,4254890891437609,Azteka,342.0
139,10,5,2023-05-11,2023-01-13,Cash,4204205942631285,Azteka,3380.0
140,7,1,2023-05-10,2023-03-12,Cash,639083686670,Banamex,928.0
141,2,7,2023-01-20,2023-01-19,Cash,180037820479776,Banamex,1040.0
142,10,3,2023-07-29,2023-02-22,Cash,3596677839031803,BBVA,3993.0
143,10,5,2023-01-27,2023-03-10,Cash,6529659706279199,Santander,2165.0
144,6,1,2023-03-04,2023-02-26,Cash,6011188702988442,Banamex,2903.0
145,2,9,2023-08-03,2023-02-22,Cash,4423051775653367,BBVA,3196.0
146,7,2,2023-06-30,2023-05-08,Debit Card,6011813993613553,BBVA,1092.0
147,4,4,2023-07-14,2023-08-25,Debit Card,4246137883548873,Banamex,1507.0
148,10,9,2023-02-21,2023-06-13,Debit Card,4113174694786061,Azteka,1937.0
149,7,4,2023-06-25,2023-06-09,Debit Card,3513310630522255,Azteka,2691.0
150,4,4,2023-07-22,2023-01-05,Debit Card,3556773463273403,Azteka,4823.0
151,9,3,2023-03-01,2023-07-07,Cash,4899450260448413,Santander,1070.0
152,7,10,2023-01-31,2023-07-29,Debit Card,4775634946753,Azteka,3174.0
153,6,7,2023-06-22,2023-02-12,Debit Card,6586322731798895,Santander,3866.0
154,3,8,2023-05-10,2023-03-15,Cash,371461930125856,BBVA,2444.0
155,7,8,2023-06-17,2023-06-17,Debit Card,6521042434263850,BBVA,4489.0
156,1,1,2023-02-01,2023-08-08,Cash,30239339089854,Azteka,183.0
157,2,10,2023-06-27,2023-02-25,Cash,4319605186503176865,Banamex,3979.0
158,9,4,2023-07-12,2023-05-09,Cash,4323844044124579,BBVA,4856.0
159,2,5,2023-01-11,2023-02-15,Cash,180080079891630,Santander,2703.0
160,4,2,2023-06-26,2023-07-13,Cash,180053175324947,Santander,2287.0
161,5,9,2023-04-30,2023-08-02,Debit Card,3529476840562969,Santander,4347.0
162,3,7,2023-05-12,2023-03-14,Debit Card,4332362249913447072,Santander,3439.0
163,3,4,2023-07-10,2023-02-06,Debit Card,4700475407210,Banamex,1239.0
164,8,8,2023-08-10,2023-05-08,Debit Card,30392097431758,Banamex,3487.0
165,5,1,2023-04-22,2023-01-19,Debit Card,180032181145744,BBVA,2896.0
166,3,3,2023-08-19,2023-01-12,Cash,4140799180641,BBVA,852.0
167,8,8,2023-02-08,2023-08-22,Debit Card,2286440782098460,Azteka,4224.0
168,9,2,2023-04-29,2023-03-02,Debit Card,180094130919009,Azteka,2549.0
169,2,4,2023-01-22,2023-01-24,Debit Card,4961830242210840016,Santander,237.0
170,1,5,2023-03-19,2023-05-09,Cash,3536787064841058,Banamex,3467.0
171,5,7,2023-08-05,2023-06-21,Debit Card,4245736332578471,Santander,1202.0
172,2,3,2023-02-13,2023-08-16,Debit Card,4128828983553713,BBVA,1577.0
173,10,4,2023-07-17,2023-08-02,Cash,4648637147523,Banamex,1092.0
174,3,6,2023-03-31,2023-08-16,Cash,4801785495532573,Banamex,110.0
175,4,10,2023-06-09,2023-02-26,Cash,4108730884459566,Santander,4381.0
176,7,1,2023-05-13,2023-03-18,Cash,3560807919835995,Banamex,2162.0
177,2,5,2023-06-17,2023-01-09,Debit Card,213159160953326,Banamex,754.0
178,7,4,2023-06-06,2023-08-26,Debit Card,180004783879863,BBVA,2174.0
179,6,10,2023-04-14,2023-05-24,Cash,3561628136791632,Banamex,1767.0
180,4,6,2023-02-22,2023-04-04,Debit Card,3519933272066937,BBVA,1972.0
181,4,3,2023-04-24,2023-08-15,Cash,3571634049558694,Santander,729.0
182,5,3,2023-05-27,2023-06-15,Cash,38408967994451,Banamex,2604.0
183,2,2,2023-08-22,2023-07-01,Cash,4994078771903412,Santander,3217.0
184,8,4,2023-01-10,2023-04-14,Cash,501820279096,Azteka,721.0
185,10,9,2023-04-18,2023-04-22,Cash,30554028378834,BBVA,1900.0
186,4,8,2023-01-06,2023-06-30,Cash,30010980402419,BBVA,1237.0
187,7,10,2023-08-06,2023-05-10,Cash,4756139011419034826,Azteka,3735.0
188,9,7,2023-02-02,2023-03-22,Debit Card,4889653296313996,Banamex,3915.0
189,8,4,2023-01-27,2023-05-22,Debit Card,4734643437919543,Santander,2784.0
190,3,9,2023-06-11,2023-04-26,Debit Card,4226576019661501461,Banamex,633.0
191,9,6,2023-01-30,2023-01-06,Cash,4480716921754,BBVA,3365.0
192,5,5,2023-08-02,2023-04-03,Cash,2283080143271365,Azteka,4392.0
193,9,8,2023-01-24,2023-08-12,Cash,347209397972190,BBVA,1364.0
194,8,4,2023-07-26,2023-04-26,Debit Card,3526629991375689,Azteka,1214.0
195,10,2,2023-08-21,2023-08-03,Debit Card,213107455499786,Banamex,4890.0
196,1,8,2023-08-16,2023-06-07,Cash,4488048846208157,Azteka,3776.0
197,10,3,2023-05-27,2023-05-31,Cash,3586959349385776,Santander,2518.0
198,9,1,2023-03-08,2023-01-27,Debit Card,6011428001064978,Banamex,1496.0
199,7,8,2023-01-29,2023-05-09,Cash,213118294059665,Azteka,1865.0
200,10,10,2023-07-14,2023-03-13,Cash,3535104989310857,BBVA,3874.0
201,3,2,2023-06-11,2023-07-15,Cash,30058102852730,Azteka,2936.0
202,7,6,2023-05-28,2023-06-23,Debit Card,4205596171646,BBVA,4310.0
203,2,1,2023-01-20,2023-07-22,Debit Card,2232034295045145,BBVA,1330.0
204,3,2,2023-03-21,2023-02-09,Debit Card,180026006742404,Azteka,1281.0
205,6,1,2023-01-02,2023-07-14,Cash,6011285678860660,Santander,1011.0
206,6,7,2023-01-23,2023-08-12,Debit Card,4977333136236055708,BBVA,3058.0
207,9,7,2023-04-22,2023-06-30,Debit Card,180042037559600,BBVA,4743.0
208,5,4,2023-05-06,2023-07-09,Cash,213127850100680,Santander,3181.0
209,2,9,2023-02-03,2023-03-13,Cash,4856699112931643,Banamex,4440.0
210,2,7,2023-08-06,2023-02-18,Debit Card,562932714032,Santander,3393.0
211,9,2,2023-06-14,2023-06-04,Debit Card,3530729472775144,Santander,278.0
212,4,3,2023-08-10,2023-03-06,Debit Card,342509641316648,Santander,4796.0
213,4,6,2023-01-10,2023-04-25,Debit Card,36451606631862,Banamex,125.0
214,8,2,2023-04-24,2023-06-20,Cash,30201438703058,BBVA,4158.0
215,10,6,2023-03-14,2023-03-11,Cash,377573214206667,Azteka,4468.0
216,4,6,2023-03-11,2023-02-03,Debit Card,2299585784038677,Azteka,1452.0
217,7,9,2023-06-02,2023-05-12,Cash,3531659122417178,Banamex,1397.0
218,8,10,2023-08-16,2023-02-23,Debit Card,3569629885553464,Santander,1117.0
219,10,2,2023-01-22,2023-05-22,Debit Card,180036544624386,Banamex,1542.0
220,6,10,2023-04-23,2023-01-20,Cash,3554209023220222,BBVA,1601.0
221,8,2,2023-01-20,2023-06-24,Cash,3565611565387128,Santander,4040.0
222,3,6,2023-03-26,2023-07-11,Debit Card,36033731962758,Azteka,1230.0
223,8,4,2023-04-26,2023-03-28,Cash,346018846808595,Banamex,555.0
224,5,1,2023-06-10,2023-03-29,Cash,4615520857687038,Santander,4853.0
225,8,5,2023-05-19,2023-02-04,Debit Card,2414002692958087,Santander,4485.0
226,6,2,2023-07-01,2023-06-01,Cash,4775685375288647,Banamex,1288.0
227,3,6,2023-06-30,2023-08-04,Debit Card,4807386130525579,Banamex,651.0
228,9,4,2023-03-03,2023-02-14,Cash,4788555768107347,BBVA,1692.0
229,1,4,2023-02-20,2023-08-03,Debit Card,2223977123631588,Azteka,1120.0
230,2,10,2023-08-04,2023-07-26,Cash,30247011128767,Santander,2098.0
231,8,5,2023-06-19,2023-01-31,Debit Card,2277537269598366,Banamex,3923.0
232,5,5,2023-05-15,2023-06-15,Debit Card,180034810628595,Banamex,620.0
233,8,7,2023-08-24,2023-07-31,Cash,4764227843141315,Azteka,4627.0
234,3,7,2023-02-02,2023-01-28,Debit Card,676237857062,Banamex,3533.0
235,5,6,2023-04-29,2023-03-21,Cash,4352070730198,BBVA,2913.0
236,5,7,2023-07-26,2023-01-08,Debit Card,630431450158,Azteka,1336.0
237,10,8,2023-07-23,2023-07-16,Cash,30268815485336,Azteka,2362.0
238,10,7,2023-08-18,2023-01-31,Cash,3566653013272626,Azteka,4052.0
239,4,6,2023-05-31,2023-03-03,Debit Card,4070983652591961,BBVA,712.0
240,7,3,2023-07-03,2023-05-08,Cash,4690766492247,Azteka,2745.0
241,4,9,2023-07-09,2023-01-20,Cash,3595367213598038,Banamex,3666.0
242,1,6,2023-04-01,2023-01-06,Debit Card,5541188480077096,BBVA,361.0
243,8,1,2023-03-18,2023-05-28,Debit Card,30271817380547,BBVA,2153.0
244,3,2,2023-05-16,2023-02-03,Debit Card,2294558928921947,BBVA,1352.0
245,6,2,2023-08-13,2023-06-21,Cash,378010249557342,Azteka,1118.0
246,9,10,2023-07-08,2023-04-07,Debit Card,38622517178049,Azteka,3568.0
247,9,1,2023-03-13,2023-04-03,Debit Card,4874315307445913,Azteka,3722.0
248,6,5,2023-08-07,2023-06-10,Cash,30367707287147,Banamex,3484.0
249,3,3,2023-01-17,2023-05-25,Cash,6567163700456146,BBVA,3820.0
250,8,3,2023-07-13,2023-05-10,Cash,4788621210339456,Azteka,4792.0
251,2,1,2023-03-10,2023-08-03,Debit Card,3586983585497111,BBVA,4583.0
252,3,3,2023-01-05,2023-03-12,Debit Card,4265054382143,Banamex,1526.0
253,1,9,2023-03-18,2023-07-04,Debit Card,3576962164132713,Banamex,1420.0
254,1,8,2023-07-27,2023-04-21,Cash,4388376908862137507,BBVA,3014.0
255,4,3,2023-05-14,2023-03-24,Debit Card,630414793111,BBVA,4010.0
256,10,10,2023-04-17,2023-07-17,Cash,30099660469947,Azteka,3509.0
257,6,2,2023-05-30,2023-02-06,Cash,3514883209485632,BBVA,3471.0
258,2,2,2023-01-05,2023-01-08,Debit Card,503801717755,BBVA,3316.0
259,1,9,2023-07-12,2023-01-07,Debit Card,5190711760716457,Santander,2924.0
260,3,1,2023-06-05,2023-01-19,Cash,180085732770725,Santander,4442.0
261,4,2,2023-01-28,2023-06-23,Cash,180020192775195,BBVA,3510.0
262,10,9,2023-01-22,2023-05-12,Cash,376280565249665,BBVA,4939.0
263,4,2,2023-04-02,2023-02-16,Debit Card,2553759319215081,BBVA,4243.0
264,2,8,2023-07-14,2023-07-04,Debit Card,4253125408492284746,Santander,4353.0
265,8,8,2023-02-19,2023-02-21,Debit Card,343248392722220,Banamex,4821.0
266,1,2,2023-03-09,2023-04-24,Cash,3502486367734413,Banamex,2811.0
267,2,6,2023-02-20,2023-04-01,Debit Card,4355239776712025,Banamex,4504.0
268,8,9,2023-08-13,2023-06-07,Cash,30107232840634,BBVA,4995.0
269,1,3,2023-08-17,2023-07-17,Cash,3564205864302226,Banamex,4813.0
270,3,9,2023-08-07,2023-06-19,Debit Card,2294156589849109,Santander,2865.0
271,5,8,2023-08-02,2023-03-21,Cash,3595334405375187,Santander,1545.0
272,1,10,2023-08-21,2023-08-02,Debit Card,4044824151004481,BBVA,4971.0
273,5,4,2023-03-31,2023-01-29,Debit Card,180053959633356,Banamex,1344.0
274,9,2,2023-05-11,2023-04-08,Cash,3503083588731622,Banamex,4121.0
275,10,2,2023-04-26,2023-05-02,Debit Card,3579209257215253,Santander,1935.0
276,8,9,2023-04-28,2023-08-23,Debit Card,4810273932781474,Azteka,4052.0
277,6,2,2023-04-23,2023-06-06,Debit Card,4883842108452276288,Santander,1879.0
278,10,2,2023-05-26,2023-02-21,Debit Card,4284799675984,BBVA,976.0
279,7,5,2023-02-13,2023-02-13,Cash,4884032038872,Azteka,2401.0
280,5,10,2023-06-05,2023-06-30,Cash,36130110380378,Santander,1185.0
281,2,7,2023-07-24,2023-07-14,Debit Card,2230905430405868,Banamex,1636.0
282,7,4,2023-01-20,2023-03-16,Debit Card,6011537462973756,Santander,4912.0
283,8,5,2023-01-08,2023-01-06,Debit Card,373126403581236,Banamex,1028.0
284,10,6,2023-03-03,2023-08-26,Cash,3598055253895144,Santander,2608.0
285,3,9,2023-04-05,2023-08-19,Debit Card,30474478870349,BBVA,240.0
286,2,1,2023-08-10,2023-01-04,Debit Card,373975682766284,Banamex,4336.0
287,1,5,2023-01-11,2023-02-19,Cash,3502575442126288,Azteka,1706.0
288,8,9,2023-08-14,2023-03-19,Cash,3572622471897234,Santander,1346.0
289,10,6,2023-02-15,2023-06-30,Debit Card,342204272302246,Azteka,3494.0
290,4,1,2023-02-21,2023-07-20,Cash,3543366680699918,Santander,4611.0
291,4,8,2023-06-28,2023-03-25,Debit Card,3596804896550562,Azteka,4253.0
292,6,4,2023-08-26,2023-03-16,Cash,676243522783,Azteka,408.0
293,4,8,2023-07-23,2023-02-28,Cash,6011157608021210,BBVA,1966.0
294,4,8,2023-06-20,2023-07-11,Debit Card,4508744161696176,Santander,1280.0
295,8,4,2023-01-22,2023-04-16,Cash,343440903155574,Banamex,2278.0
296,8,1,2023-01-23,2023-04-27,Debit Card,675980138621,Santander,2275.0
297,10,1,2023-08-14,2023-04-11,Cash,30220655130472,Azteka,3203.0
298,3,9,2023-01-22,2023-08-20,Cash,373920287160145,Santander,551.0
299,6,8,2023-07-07,2023-05-01,Cash,30257617635073,Banamex,2428.0
300,1,8,2023-02-15,2023-02-01,Debit Card,4672687813801604974,Azteka,911.0
301,7,3,2023-08-08,2023-03-29,Debit Card,630477978567,Banamex,4839.0
302,9,7,2023-07-09,2023-08-22,Debit Card,30326743170923,Santander,718.0
303,6,6,2023-02-19,2023-04-06,Debit Card,502095141474,Santander,3308.0
304,6,10,2023-05-27,2023-06-16,Debit Card,639002738339,BBVA,220.0
305,7,9,2023-08-19,2023-03-20,Debit Card,3585021524417345,BBVA,3888.0
306,10,3,2023-07-01,2023-06-02,Cash,587843051547,BBVA,2250.0
307,3,2,2023-04-29,2023-07-16,Debit Card,4019610855153,Azteka,3441.0
308,8,8,2023-05-02,2023-01-10,Debit Card,180040408813416,Santander,887.0
309,7,10,2023-05-08,2023-05-29,Debit Card,4716821222107936,Banamex,2993.0
310,10,2,2023-08-21,2023-05-13,Debit Card,501884260289,Santander,3827.0
311,8,2,2023-05-05,2023-06-24,Cash,3507291086538656,Banamex,346.0
312,7,9,2023-07-17,2023-05-04,Cash,4747164186910703,Azteka,151.0
313,9,6,2023-08-12,2023-04-12,Debit Card,5466805978756888,BBVA,184.0
314,10,8,2023-04-09,2023-08-23,Debit Card,4076992164364,Santander,4146.0
315,9,10,2023-05-12,2023-08-05,Debit Card,4852248625000324,BBVA,265.0
316,7,2,2023-08-26,2023-07-15,Debit Card,4698178479710,Azteka,4946.0
317,6,7,2023-06-26,2023-06-30,Debit Card,3501190379855155,BBVA,1489.0
318,4,10,2023-05-25,2023-06-29,Cash,6011635075936036,Azteka,899.0
319,2,2,2023-02-27,2023-02-10,Cash,4928465554515,Azteka,1104.0
320,5,7,2023-03-06,2023-07-06,Debit Card,378003797997358,Azteka,687.0
321,2,5,2023-01-29,2023-01-24,Debit Card,6507862630942439,BBVA,1261.0
322,3,10,2023-02-19,2023-01-14,Debit Card,180070560864097,BBVA,4167.0
323,1,4,2023-07-20,2023-02-19,Debit Card,4948064057004833,Santander,3408.0
324,2,4,2023-07-08,2023-05-28,Debit Card,4689413170144773,Azteka,1356.0
325,6,7,2023-02-09,2023-07-29,Debit Card,6011697511501451,Azteka,2713.0
326,5,5,2023-05-18,2023-01-05,Debit Card,3556078789222492,Azteka,2699.0
327,3,1,2023-06-16,2023-01-04,Debit Card,676387132514,Banamex,2567.0
328,2,5,2023-08-07,2023-07-28,Debit Card,38504685934884,Banamex,2399.0
329,6,6,2023-05-20,2023-05-05,Cash,676243150445,Banamex,1704.0
330,3,10,2023-06-06,2023-08-01,Cash,3584186204116706,BBVA,2607.0
331,1,7,2023-03-14,2023-06-19,Cash,344710580476389,Banamex,4622.0
332,1,8,2023-07-17,2023-04-22,Cash,6011370217679183,Santander,2807.0
333,2,1,2023-07-17,2023-08-05,Cash,213120677518358,Azteka,885.0
334,8,7,2023-02-28,2023-08-24,Cash,30042858594191,Azteka,3600.0
335,4,7,2023-05-16,2023-01-16,Debit Card,4150465332281570,Azteka,2685.0
336,4,9,2023-06-26,2023-01-27,Debit Card,213159665714264,Santander,2685.0
337,7,10,2023-02-11,2023-01-22,Debit Card,3519443100487990,BBVA,1812.0
